Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
DOMINO'S PIZZA #1102,25 JACKSON INDUSTRIAL DR,ANN ARBOR,09/29/2014,1,5,1
DUNKIN DONUTS,608 S. HEWITT,YPSILANTI,09/18/2014,1,2,3
"EAT, LLC  #2 (MOBILE)",1906 PACKARD ROAD,ANN ARBOR,09/06/2014,0,0,0
EBERWHITE ELEMENTARY,800 SOULE BLVD.,ANN ARBOR,09/10/2014,2,2,1
ELEVATION BURGER,3365 WASHTENAW AVE STE L,ANN ARBOR,09/04/2014,0,1,1
ELIXIR VITAE COFEE AND TEA,117 E LIBERTY,ANN ARBOR,09/18/2014,0,0,1
ELK'S FRONTIER LODGE #1681,1405 ECORSE ROAD,YPSILANTI,09/30/2014,0,2,3
EMANUEL UNITED CHURCH OF CHRIST,324 W. MAIN STEET,MANCHESTER,09/18/2014,1,0,0
EMU - INTERNATIONAL KITCHEN,900 OAKWOOD,YPSILANTI,09/09/2014,0,0,3
EMU CROSSROADS & HOYT CONFERENCE CENTER,HOYT CONFERENCE CENTER,YPSILANTI,09/23/2014,0,0,6
EMU DINING COMMONS #1,850 W. CROSS STREET,YPSILANTI,09/25/2014,3,0,4
EMU EINSTEIN BAGELS,HOYT CONFERENCE CENTER,YPSILANTI,09/10/2014,2,0,4
EMU ISLAND FOOD COURT,900 OAKWOOD BLVD.,YPSILANTI,09/09/2014,0,0,1
EMU SATELLITE OPERATIONS,ST. JOHN STDC1,YPSILANTI,09/11/2014,0,0,5
EMU STARBUCKS,900 OAKWOOD BLVD.,YPSILANTI,09/03/2014,1,0,3
EMU TACO BELL (SALSA GRILLE),900 OAKWOOD BLVD.,YPSILANTI,09/09/2014,0,0,3
ESPRESSO ROYALE,2264 S. MAIN STREET,ANN ARBOR,09/15/2014,1,0,4
ESTABROOK ELEMENTARY SCHOOL,1555 W. CROSS STREET,YPSILANTI,09/19/2014,0,1,1
EVERGREEN ORIENTAL INC.,2771 PLYMOUTH ROAD,ANN ARBOR,09/17/2014,2,2,9
EXPRESS FISH & CHICKEN,3015 E MICHIGAN AVE,YPSILANTI,09/04/2014,0,0,2
FENDERS BAR & GRILL,18-20 WABASH STREET,MILAN,09/18/2014,0,0,2
FIRST UNITED METHODIST CHURCH,209 WASHTENAW,YPSILANTI,09/09/2014,0,0,2
FOOD ZONE CHINESE RESTAURANT,7023 DEXTER-ANN ARBOR ROAD,DEXTER,09/17/2014,1,1,4
FORSYTHE JR. HIGH SCHOOL,1655 NEWPORT ROAD,ANN ARBOR,09/08/2014,1,0,2
FRANKS PLACE,104 E. MAIN STREET,MANCHESTER,09/05/2014,1,0,2
FRATERNAL ORDER OF EAGLES,2935 HOLMES ROAD,YPSILANTI,09/03/2014,1,2,4
GANDY DANCER,401 DEPOT STREET,ANN ARBOR,09/24/2014,4,2,9
GIARDINOS,5060 JACKSON ROAD # A-1,ANN ARBOR,09/08/2014,0,2,6
GOLDEN WALL,421 W. CROSS STREET,YPSILANTI,09/02/2014,2,1,5
GRACE FELLOWSHIP CHURCH,1345 S. HARRIS,YPSILANTI,09/11/2014,0,0,0
GRAHAMS,600 HILTON BLVD,ANN ARBOR,09/04/2014,4,3,5
GRATZI,326 S. MAIN STREET,ANN ARBOR,09/15/2014,1,0,3
HAMMACKS CATERING,850 S HEWITT,YPSILANTI,09/07/2014,1,2,4
HANA RESTAURANT,1346 E. MICHIGAN AVENUE,YPSILANTI,09/04/2014,0,0,2
HARVEST ELEMENTARY SCHOOL,1155 CAMPUS PARKWAY,SALINE,09/12/2014,0,1,2
HARVEST MOON,5484 W. MICHIGAN AVENUE,YPSILANTI,09/26/2014,0,1,3
HELLO FAZ PIZZA,2259 W. LIBERTY,ANN ARBOR,09/02/2014,0,0,3
HERITAGE ELEMENTARY SCHOOL,290 WOODLAND DRIVE,SALINE,09/19/2014,0,0,0
HIGH POINT CENTER,1735 S. WAGNER ROAD,ANN ARBOR,09/22/2014,0,0,0
HOLIDAY INN EXPRESS,600 HILTON BLVD.,ANN ARBOR,09/10/2014,0,0,1
HOLIDAY'S RESTAURANT,2080 W. STADIUM BLVD,ANN ARBOR,09/05/2014,0,0,2
HOPE MEDICAL CLINIC,518 HARRIET ST.,YPSILANTI,09/22/2014,0,0,3
HUNGRY MAN,1030 ECORSE ROAD,YPSILANTI,09/19/2014,3,2,7
HUNTER HOUSE ANN ARBOR INC,609 E WILLIAMS,ANN ARBOR,09/25/2014,1,0,2
HURON HIGH SCHOOL CAFETERIA,2727 FULLER ROAD,ANN ARBOR,09/15/2014,0,0,2
HURON HIGH STADIUM CONCESSIONS,2727 FULLER ROAD,ANN ARBOR,09/18/2014,0,0,0
ICHIBAN JAPANESE STEAK HOUSE & SUSHI BAR,4641 WASHTENAW AVE,ANN ARBOR,09/16/2014,3,0,3
JET'S PIZZA,7011 DEXTER-ANN ARBOR RD,DEXTER,09/04/2014,2,1,1
JETS PIZZA OF CHELSEA,506 NORTH MAIN ST,CHELSEA,09/05/2014,0,1,6
JIMMY JOHN'S,1207 S. UNIVERSITY,ANN ARBOR,09/29/2014,3,2,1
JIMMY JOHNS GOURMET SANDWICHES,537 W. CROSS ST.,YPSILANTI,09/15/2014,1,2,1
JOLLY PUMPKIN CAFE & BREWERY,311 S. MAIN ST.,ANN ARBOR,09/09/2014,1,1,9
JUICY KITCHEN,1506 N. MAPLE ROAD,ANN ARBOR,09/29/2014,0,0,1
KAI GARDEN,116 S. MAIN STREET,ANN ARBOR,09/26/2014,3,0,4
"KATHY'S DEPOE DOGS, INC.",3300 CARPENTER RD (HOME DEPOT),ANN ARBOR,09/17/2014,0,0,3
KLAGER ELEMENTARY SCHOOL,405 ANN ARBOR STREET,MANCHESTER,09/24/2014,0,0,1
LEO'S CONEY ISLAND,6889 STATE ST.,SALINE,09/16/2014,0,0,7
LEO'S CONEY ISLAND,1342 ANNA J STEPP,YPSILANTI,09/11/2014,1,2,7
LIBERTY ATHLETIC CLUB INDOOR SNACK BAR,2975 W. LIBERTY,ANN ARBOR,09/16/2014,0,0,2
LINCOLN BOOSTERS CONCESSION,7425 WILLIS ROAD,YPSILANTI,09/19/2014,0,0,1
LOS AMIGOS,625 HILTON BLVD.,ANN ARBOR,09/16/2014,3,5,10
MANCHESTER HIGH SCHOOL,20500 DUTCH DRIVE,MANCHESTER,09/18/2014,0,0,3
MANCHESTER MIDDLE SCHOOL,710 E. MAIN STREET,MANCHESTER,09/24/2014,0,0,2
MANCHESTER UNITED METHODIST CH,501 ANN ARBOR STREET,MANCHESTER,09/05/2014,1,0,0
