Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundations Violations,Core Violations
KYOCERA UNIMERICAO TOOLING INC.,6620 STATE RD.,SALINE,11/04/2014,1,0,3
"LA FIESTA MEXICANA, INC",529 W. CROSS STREET,YPSILANTI,11/19/2014,0,1,2
"LA FUENTE, INC",1930 WHITTAKER RD,YPSILANTI,11/18/2014,6,2,8
LINKS AT WHITMORE LAKE,1111 SIX MILE ROAD,WHITMORE LAKE,11/05/2014,3,2,2
LITTLE CAESARS PIZZA,6901 STATE RD,SALINE,11/17/2014,0,0,2
LOGAN - AN AMERICAN RESTAURANT,115 W. WASHINGTON STREET,ANN ARBOR,11/06/2014,1,1,3
LOGAN ELEMENTARY,2685 TRAVER ROAD,ANN ARBOR,11/03/2014,0,0,2
LOS AMIGOS FIESTA,4855 WASHTENAW,ANN ARBOR,11/11/2014,4,3,6
LUCKY KITCHEN,611 E. UNIVERSITY,ANN ARBOR,11/10/2014,1,1,4
LUCKY KITCHEN,1753 PLYMOUTH ROAD,ANN ARBOR,11/21/2014,1,1,8
MADRAS MASALA,330 MAYNARD,ANN ARBOR,11/04/2014,1,5,5
MANI OSTERIA & BAR,341 EAST LIBERTY,ANN ARBOR,11/20/2014,1,2,3
MARK'S MIDTOWN CONEY,529 E. MICHIGAN AVENUE,SALINE,11/19/2014,1,0,8
MASCO - STERLING SERVICES,4600 ARROWHEAD DRIVE,ANN ARBOR,11/05/2014,2,2,3
McDONALD'S #10950,2310 W. STADIUM BLVD,ANN ARBOR,11/13/2014,0,0,4
McDONALD'S #13841,3001 LOHR ROAD,ANN ARBOR,11/13/2014,2,3,5
MCDONALD'S #6134,373 N. ZEEB ROAD,ANN ARBOR,11/05/2014,1,0,8
MELTING POT (THE),309 S. MAIN ST.,ANN ARBOR,11/08/2014,3,3,2
MEZES GREEK GRILL,715 N UNIVERSITY,ANN ARBOR,11/17/2014,1,1,1
MICHIGAN FRIENDS CENTER,7748 CLARKS LAKE ROAD,CHELSEA,11/18/2014,0,0,2
MILAN MIDDLE SCHOOL,920 NORTH STREET,MILAN,11/24/2014,0,0,2
NEW GRACE APOSTOLIC TEMPLE,2898 PACKARD,ANN ARBOR,11/17/2014,0,1,1
NO THAI! 3,1745 PLYMOUTH RD,ANN ARBOR,11/03/2014,0,2,6
OCED SENIOR NUTRITION PROGRAM,2025 E. CLARK ROAD,YPSILANTI,11/05/2014,0,0,0
OCED SENIOR NUTRITION PROGRAM,701 W. ELLSWORTH ROAD,ANN ARBOR,11/13/2014,1,0,2
OLD CAROLINA BARBECUE COMPANY,"980 W EISENHOWER PARKWAY, D",ANN ARBOR,11/20/2014,2,0,7
