Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
LURIE TERRACE,600 W. HURON,ANN ARBOR,01/28/2015,0,0,2
M D BAGEL FRAGEL LLC,1760 PLYMOUTH RD.,ANN ARBOR,01/06/2015,1,1,3
MACY'S,700 BRIARWOOD CIRCLE,ANN ARBOR,01/13/2015,0,0,3
MAIDSTONE THEATRE,1425 ECORSE / P.O.BOX 980294,YPSILANTI,01/30/2015,0,0,6
MAIN STREET CONEY ISLAND,1555 S. MAIN STREET,CHELSEA,01/27/2015,1,0,6
MANCINO'S PIZZA & GRINDERS ,2883 CARPENTER ROAD,ANN ARBOR,01/08/2015,0,1,7
MARCO'S PIZZA,148 BARKER ROAD,WHITMORE LAKE,01/29/2015,1,0,0
"MAX & ERMA'S RESTAURANTS, INC.",445 E. EISENHOWER PKWY,ANN ARBOR,01/09/2015,1,0,8
McDONALD'S,1535 S. MAIN STREET,CHELSEA,01/07/2015,1,0,5
MCDONALDS,5550 W. MICHIGAN AVE,YPSILANTI,01/02/2015,1,0,6
McDONALD'S #24999,101 BAKER ROAD,DEXTER,01/09/2015,0,0,5
McDONALD'S #3086,7847 E. MICHIGAN AVENUE,SALINE,01/09/2015,1,0,10
MCDONALD'S RESTAURANT,4775 WASHTENAW AVE,ANN ARBOR,01/07/2015,1,0,7
MEADOWS AT GLACIER HILLS,4001 GLACIER HILL DRIVE,ANN ARBOR,01/07/2015,0,0,2
MEDITERRANO,2900 S. STATE STREET #7,ANN ARBOR,01/13/2015,2,1,7
MELANGE BISTRO WINE BAR,312 S. MAIN ST,ANN ARBOR,01/16/2015,3,2,4
MESSIAS TEMPLE CHURCH,200 HARRIET STREET,YPSILANTI,01/13/2015,0,1,1
MIGHTY GOOD COFFEE,1335 S UNIVERSITY AVE,ANN ARBOR,01/20/2015,0,0,0
"MORNING OWL COFFEE CORP, THE",9 W. MAIN STREET,MILAN,01/13/2015,1,2,5
MR. PIZZA #3,6054 RAWSONVILLE ROAD,BELLEVILLE,01/14/2015,0,0,3
MR. SPOTS,808 S. STATE STREET,ANN ARBOR,01/29/2015,0,2,4
NAGOMI SUSHI & NOODLE,1754 PLYMOUTH RD.,ANN ARBOR,01/13/2015,3,2,9
NIRMAL ENTERPRISE,2876 WASHTENAW,YPSILANTI,01/05/2015,1,2,6
NOODLES & COMPANY,"3601 WASHTENAW, SUITE A",ANN ARBOR,01/14/2015,0,0,2
OLLIES PIZZA ,138 E. MAIN STREET,MANCHESTER,01/14/2015,0,1,7
ORANGE LEAF FROZEN YOGURT,2613 PLYMOUTH RD,ANN ARBOR,01/09/2015,0,0,1
P F CHANGS CHINA BISTRO,720 BRIARWOOD CIR,ANN ARBOR,01/07/2015,4,3,7
PAESANOS,3411 WASHTENAW,ANN ARBOR,01/08/2015,3,2,5
PALM PALACE - PITTSFIELD,2370 CARPENTER RD,ANN ARBOR,01/13/2015,2,1,5
PANDA EXPRESS #2101,100 BRIARWOOD CIRCLE,ANN ARBOR,01/09/2015,0,0,3
PARADISE ASIAN CUISINE,883 W. EISENHOWER PKWY,ANN ARBOR,01/06/2015,0,0,2
PEABERRY BEAN & BEATS COMPANY,152 BARKER RD,WHITMORE LAKE,01/29/2015,2,1,2
PIZZA HOUSE,618 CHURCH STREET,ANN ARBOR,01/08/2015,0,0,3
POLO FIELDS COUNTRY CLUB ,5200 POLO FIELDS DRIVE,ANN ARBOR,01/21/2015,1,2,1
POWERHOUSE GYM YPSILANTI,1326 ANNA J. STEPP,YPSILANTI,01/06/2015,0,0,0
RED ROBIN GOURMET BURGERS,3797 CARPENTER ROAD,YPSILANTI,01/22/2015,0,0,2
RED ROCK DOWNTOWN BARBEQUE,207 W. MICHIGAN AVENUE,YPSILANTI,01/16/2015,0,0,2
RIO WRAP,1334 ANNA J STEPP,YPSILANTI,01/06/2015,1,0,2
ROD'S DINER,812 S. STATE STREET,ANN ARBOR,01/15/2015,0,0,1
RON'S ROADSIDE BBQ,5850 PONTIAC TRAIL,ANN ARBOR,01/08/2015,3,0,2
ROY'S SQUEEZE INN,1315 E. MICHIGAN AVENUE,YPSILANTI,01/26/2015,0,0,3
RUBY TUESDAY #7613,1375 E. MICHIGAN AVENUE,SALINE,01/14/2015,0,0,3
SABOR LATINO,211 N. MAIN STREET,ANN ARBOR,01/09/2015,1,0,2
SALADS UP,611 E LIBERTY ST,ANN ARBOR,01/12/2015,1,1,2
SEOUL STREET,1771 PLYMOUTH STE #101,ANN ARBOR,01/13/2015,0,0,7
SERRA'S D.Q. L.LC.,1801 WASHTENAW,YPSILANTI,01/28/2015,1,1,10
SILVER MAPLES OF CHELSEA,100 SILVER MAPLES DR,CHELSEA,01/16/2015,2,0,2
SIMPLY SCRUMPTIOUS,4765 JOY RD,DEXTER,01/26/2015,0,1,1
SOTTINIS SUB SHOP,205 S. FOURTH AVENUE,ANN ARBOR,01/08/2015,0,0,3
ST. JOSEPH MERCY HOSPITAL,5301 E. HURON RIVER DRIVE,YPSILANTI,01/26/2015,2,1,6
ST. MARY'S CHURCH,210 W. MAIN STREET,MANCHESTER,01/07/2015,0,0,0
ST. PAUL LUTHERAN CHURCH,420 W. LIBERTY,ANN ARBOR,01/28/2015,0,0,3
STAR'S CAFE,2575 JACKSON ROAD,ANN ARBOR,01/16/2015,0,0,1
STATE THEATRE,233 S. STATE STREET,ANN ARBOR,01/13/2015,1,0,3
SUBWAY,1315 S. UNIVERSITY,ANN ARBOR,01/07/2015,0,0,1
SUBWAY,2410 W. STADIUM BLVD,ANN ARBOR,01/05/2015,0,0,1
SUBWAY SANDWICHES & SALADS,902 S. STATE ST.,ANN ARBOR,01/20/2015,1,1,2
"SURF CITY SQUEEZE, BRIARWOOD",334 BRIARWOOD CIRCLE #F-152,ANN ARBOR,01/09/2015,0,1,3
SWEET.OLOGY,1213 S. UNIVERSITY,ANN ARBOR,01/15/2015,1,1,4
TACO BELL # 5228,5650 JACKSON AVENUE,ANN ARBOR,01/14/2015,1,3,4
TACO BELL #17982,2655 WASHTENAW,YPSILANTI,01/08/2015,0,0,1
TACO BELL #2837/KFC,1590 S. MAIN STREET,CHELSEA,01/14/2015,0,0,1
TAP ROOM,201 W. MICHIGAN AVENUE,YPSILANTI,01/28/2015,0,3,8
TASTE OF INDIA,217 B SOUTH STATE ST.,ANN ARBOR,01/12/2015,0,0,4
TESUYA (HEPHZIBAH INC) ,314 DETROIT STREET,ANN ARBOR,01/13/2015,1,0,2
THOMPSON'S PIZZA,20700 OLD U.S. 12,CHELSEA,01/22/2015,0,2,5
TIM HORTON'S CAFE & BAKE SHP,2220 WASHTENAW AVE,YPSILANTI,01/29/2015,1,2,5
TOMUKUN KOREAN BBQ,505 E LIBERTY STE 100,ANN ARBOR,01/15/2015,1,1,2
TOMUKUN NOODLE BAR,505 E. LIBERTY ST. STE 200,ANN ARBOR,01/15/2015,1,1,3
TREEHOUSE,1101 S. MAIN ST.,CHELSEA,01/15/2015,0,0,0
TUPTIM THAI CUISINE,4896 WASHTENAW,ANN ARBOR,01/08/2015,0,0,3
UA 190 - IBEW 252,7920 JACKSON ROAD,ANN ARBOR,01/13/2015,0,0,1
"UGLY MUG CAFE, YPSILANTI",317 W. CROSS STREET,YPSILANTI,01/14/2015,1,0,2
VILLAGE PUB,3452 WASHTENAW AVE,ANN ARBOR,01/15/2015,0,2,2
VILLAGE TAP,237 E. MAIN STREET,MANCHESTER,01/07/2015,0,0,1
WENDY'S,4020 CARPENTER ROAD,YPSILANTI,01/05/2015,4,0,2
WESTMINISTER PRESBYTERIAN CHUR,1500 SCIO CHURCH ROAD,ANN ARBOR,01/05/2015,2,0,4
WESTSIDE UNITED METHODIST,900 S. SEVENTH STREET,ANN ARBOR,01/20/2015,0,2,3
WIDE WORLD SPORTS RECREATION,2140 OAK VALLEY DRIVE,ANN ARBOR,01/28/2015,0,0,0
WINGS 'N THINGS,3220 BROAD STREET,DEXTER,01/13/2015,0,0,4
WOODSTONE GRILL,2111 RAWSONVILLE ROAD,BELLEVILLE,01/26/2015,0,0,3
WURST BAR (THE)        ,705 W. CROSS STREET,YPSILANTI,01/16/2015,1,0,8
YOGGIE'S FROZEN YOGURT,535 E LIBERTY,ANN ARBOR,01/08/2015,0,0,3
YPSILANTI HIGH SCHOOL INDOOR CONCESSION,2095 PACKARD,YPSILANTI,01/16/2015,0,1,2
YPSILANTI MASONIC ASSOC,5752 WHITTAKER ROAD,YPSILANTI,01/20/2015,0,0,3
ZINGERMAN'S CORNMAN FARM,8540 ISLAND LAKE RD,DEXTER,01/30/2015,0,0,0
ZOU ZOU'S,101 N. MAIN STREET,CHELSEA,01/27/2015,1,0,6
ZOUP ANN ARBOR,2619 PLYMOUTH ROAD,ANN ARBOR,01/08/2015,1,1,7
