Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
ESPRESSO ROYALE,324 S. STATE STREET,ANN ARBOR,08/15/2014,0,0,4
EXPRESS SEAFOOD,2653 ELLSWORTH RD,YPSILANTI,08/13/2014,2,5,6
FIRST UNITED METHODIST CHURCH,1200 N. ANN ARBOR STREET,SALINE,08/13/2014,0,0,0
FIVE GUYS BURGERS AND FRIES,311 S. STATE,ANN ARBOR,08/06/2014,0,0,3
FOOD ART CATERED AFFAIRS,331 METTY DR,DEXTER,08/11/2014,3,0,2
FOOD FOR ALL SEASONS,"124 W. SUMMIT, SUITE B&C",ANN ARBOR,08/06/2014,1,2,7
GOLDEN EGG,2660 WASHTENAW,YPSILANTI,08/08/2014,1,0,4
GOOD TIME CHARLEYS,1140 S. UNIVERSITY,ANN ARBOR,08/26/2014,1,0,2
GOT BURGERS,301 W. CROSS,YPSILANTI,08/12/2014,4,2,3
GOURMET GARDEN,2255 W. STADIUM BLVD,ANN ARBOR,08/12/2014,3,0,8
GRAND TRAVERSE PIE COMPANY,291 NORTH ZEEB RD,ANN ARBOR,08/26/2014,1,0,8
GRANGE KITCHEN & BAR,118 W. LIBERTY,ANN ARBOR,08/12/2014,1,1,7
GUI LIN,711 W. MICHIGAN AVENUE,SALINE,08/07/2014,2,1,2
H & M FUEL MART INC,505 S HURON ST,YPSILANTI,08/26/2014,3,4,6
HAIFA FALAFEL,4584 WASHTENAW AVE STE 2,ANN ARBOR,08/26/2014,0,2,10
HAPPY'S PIZZA #38,2997 WASHTENAW AVE,YPSILANTI,08/28/2014,2,1,8
HOLIDAY INN EXPRESS,1540 COMMERCE PARK DR.,CHELSEA,08/29/2014,2,2,2
HOTEL HICKMAN WILD WEST ADVENTURES,8050 MAIN ST.,DEXTER,08/22/2014,2,1,0
HOWARD HOAGIES  # 3,2011 MCCARTNEY,YPSILANTI,08/25/2014,2,0,5
HUNGRY HOWIE'S / MILAN PIZZA,901 W. MICHIGAN AVENUE,SALINE,08/19/2014,0,2,3
HUNGRY WOLF,20400 AUSTIN ROAD,MANCHESTER,08/18/2014,1,1,2
INTERFIRST CAFE/SODEXO,6300 INTERFIRST DRIVE,ANN ARBOR,08/13/2014,4,3,7
"IORIO'S, LLC",522 E. WILLIAMS ST.,ANN ARBOR,08/13/2014,0,0,3
JAMAICAN JERK PIT,314 S. THAYER,ANN ARBOR,08/06/2014,0,1,3
JERUSALEM KITCHEN INC,2251 W. LIBERTY,ANN ARBOR,08/25/2014,1,1,3
JET'S PIZZA,1298 ANNA J. STEPP,YPSILANTI,08/26/2014,0,2,2
JET'S PIZZA,978 E. MICHIGAN AVE,SALINE,08/25/2014,0,0,2
JIMMY JOHN'S,600 PACKARD,ANN ARBOR,08/04/2014,2,3,0
JOE'S DELI & MARKET,5333 MCAULEY DR.,YPSILANTI,08/12/2014,1,0,1
JOYFUL HOUSE,515 E. MICHIGAN AVENUE,SALINE,08/19/2014,0,0,3
JR'S SNOW CONE ZONE,8555 SILVER HILL ROAD,PINCKNEY,08/25/2014,0,1,3
KFC #W812092,39 E. MICHIGAN AVENUE,YPSILANTI,08/08/2014,0,0,7
KFC #W812127,4040 WASHTENAW,ANN ARBOR,08/20/2014,1,2,5
L.O.O.M. YPSI LODGE # 782,5506 STONEY CREEK ROAD,YPSILANTI,08/27/2014,1,0,3
LA CAFE',7120 DEXTER-ANN ARBOR RD,DEXTER,08/08/2014,1,1,0
LA MARSA MEDITERRANEAN CUISINE,301 S. STATE STREET,ANN ARBOR,08/14/2014,2,3,8
LINDA'S DINER LLC,9610 CHELSEA MANCHESTER RD.,MANCHESTER,08/18/2014,3,0,2
LITTLE PORKY'S  - ADK INC.,2529 DEXTER ROAD,ANN ARBOR,08/04/2014,0,0,2
LITTLE PORKY'S - WHITMORE LAKE,52 BARKER RD,WHITMORE LAKE,08/11/2014,4,3,7
"LIVE, THE LAST WORD DBA",102 S. FIRST STREET,ANN ARBOR,08/27/2014,2,0,5
LUCA'S CONEY ISLAND,2469 WASHTENAW AVE. ,YPSILANTI,08/28/2014,3,0,3
"LUNCH ROOM, THE",407 N FIFTH AVE,ANN ARBOR,08/08/2014,1,1,1
LURIE TERRACE,600 W. HURON,ANN ARBOR,08/13/2014,2,0,2
MAIZ MEXICAN CANTINA,36 E. CROSS STREET,YPSILANTI,08/13/2014,0,2,9
MANCINO'S PIZZA & GRINDERS,1323 E. MICHIGAN AVENUE,SALINE,08/27/2014,1,0,4
MARK'S MIDTOWN CONEY ISLAND IN,3672 S. STATE STREET,ANN ARBOR,08/14/2014,2,2,3
McDONALD'S,2675 PLYMOUTH ROAD,ANN ARBOR,08/14/2014,0,0,4
McDONALD'S #11359,1070 HURON RIVER DRIVE,YPSILANTI,08/26/2014,0,0,7
MCDONALD'S #3990,3811 CARPENTER RD,YPSILANTI,08/13/2014,2,0,6
MELANGE BISTRO WINE BAR,312 S. MAIN ST,ANN ARBOR,08/04/2014,3,0,2
MENNA'S JOINT,607 E WILLIAM ST,ANN ARBOR,08/06/2014,3,3,4
METZGER'S GERMAN RESTAURANT,305 N. ZEEB ROAD,ANN ARBOR,08/18/2014,1,0,3
MIKI JAPANESE RESTAURANT,106 S. FIRST STREET,ANN ARBOR,08/19/2014,1,1,6
MILAN FREE METHODIST CHURCH,950 ARKONA ROAD,MILAN,08/07/2014,1,0,0
NEW CHINA,"6889 STATE RD., STE D",SALINE,08/14/2014,0,0,4
NOODLES & CO,2245 W. STADIUM BLVD.,ANN ARBOR,08/25/2014,0,0,2
OASIS CAFE/SOUTH U PIZZA,1104 - 1110  S. UNIVERSITY,ANN ARBOR,08/04/2014,1,0,3
OUTBACK STEAKHOUSE,3173 OAK VALLEY DRIVE,ANN ARBOR,08/27/2014,1,1,9
PANERA BREAD #878,5340 JACKSON ROAD,ANN ARBOR,08/25/2014,2,1,1
PAPA JOHN'S PIZZA,2145 W. STADIUM BLVD,ANN ARBOR,08/11/2014,0,0,2
PEA POD INN,330 ECORSE ROAD,YPSILANTI,08/19/2014,2,0,8
PEABERRY BEAN & BEATS COMPANY,152 BARKER RD,WHITMORE LAKE,08/11/2014,1,0,1
PEET'S COFFEE & TEA,1423 E. STADIUM BLVD. ,ANN ARBOR,08/22/2014,0,1,2
PITA DELITE,4100 GREEN MEADOWS APT 112,YPSILANTI,08/01/2014,0,0,0
PITA KABOB GRILL,619 E. WILLIAM,ANN ARBOR,08/19/2014,1,1,1
POLO FIELDS - WASHTENAW (THE),2955 PACKARD,YPSILANTI,08/07/2014,1,1,3
POTATO & CO,854 BRIARWOOD CIRCLE,ANN ARBOR,08/08/2014,1,2,6
"POTBELLY SANDWICH WORKS, LLC",300 S. STATE STEET,ANN ARBOR,08/22/2014,2,0,5
"POTBELLY SANDWICH WORKS, LLC",3785 WASHTENAW AVE,ANN ARBOR,08/13/2014,1,2,6
PRICKLY PEAR CAFE,328 S. MAIN STREET,ANN ARBOR,08/13/2014,2,0,5
PRIMO FITNESS CENTER WCC -FITNESS CENTER,4833 EAST HURON RIVER,ANN ARBOR,08/13/2014,0,2,5
REAGLE BEAGLE,817 E. MICHIGAN AVENUE,YPSILANTI,08/26/2014,1,0,2
REAL SEAFOOD,341 S. MAIN STREET,ANN ARBOR,08/07/2014,2,0,2
RED ROBIN GOURMET BURGERS,3797 CARPENTER ROAD,YPSILANTI,08/01/2014,1,2,4
RED ROBIN GOURMET BURGERS - ANN ARBOR,575 BRIARWOOD CR.,ANN ARBOR,08/12/2014,1,0,8
ROLLING HILLS WATER PARK ,7660 STONY CREEK ROAD,YPSILANTI,08/14/2014,1,0,1
ROY'S SQUEEZE INN,2283 ELLSWORTH ROAD,YPSILANTI,08/27/2014,2,0,3
SALINE DOWNTOWN DINER,"131 E. MICHIGAN AVENUE, STE D",SALINE,08/14/2014,1,1,6
SILVIO'S ORGANIC PIZZERIA,715 N. UNIVERSITY STE #2,ANN ARBOR,08/05/2014,0,0,2
SMOOTHIE KING # 555,222 N. FOURTH AVE,ANN ARBOR,08/28/2014,1,0,2
"SONGBIRD, THE",2707 PLYMOUTH RD,ANN ARBOR,08/29/2014,1,3,10
ST. FRANCIS OF ASSISI CHURCH,2150 FRIEZE AVENUE,ANN ARBOR,08/06/2014,0,0,2
ST. MARY'S PARISH CENTER,110 E. MADISON,MANCHESTER,08/07/2014,0,0,0
ST. PATRICK'S CHURCH-PARISH HALL,5671 WHITMORE LAKE ROAD,ANN ARBOR,08/29/2014,0,0,1
ST. PAUL LUTHERAN CHURCH,420 W. LIBERTY,ANN ARBOR,08/07/2014,0,0,4
STARBUCKS COFFEE  #2359,222 S. STATE STREET,ANN ARBOR,08/22/2014,2,1,4
STARBUCKS COFFEE #11966,4585 WASHTENAW AVE,ANN ARBOR,08/08/2014,1,0,3
STARBUCKS COFFEE #8793,300 S. MAIN STREET,ANN ARBOR,08/12/2014,2,0,3
STOCKWELL'S HOME COOKIN,114 ADRIAN STREET,MANCHESTER,08/07/2014,1,1,2
SUBWAY,3384 WASHTENAW,ANN ARBOR,08/18/2014,0,1,2
SUBWAY,1478 ECORSE ROAD,YPSILANTI,08/27/2014,0,1,3
SUBWAY,1315 S. UNIVERSITY,ANN ARBOR,08/04/2014,0,0,1
SUBWAY,3395 PLYMOUTH RD.,ANN ARBOR,08/20/2014,0,0,2
SUBWAY,1094 HURON RIVER DRIVE,YPSILANTI,08/20/2014,2,1,4
SUBWAY #48241,1251 N MAPLE SUITE 2,ANN ARBOR,08/07/2014,1,0,0
SUBWAY #5076,2868 WASHTENAW,YPSILANTI,08/18/2014,1,1,2
SUBWAY @ WAL-MART,2515 ELLSWORTH RD.,YPSILANTI,08/07/2014,0,1,3
SUBWAY SANDWICHES & SALADS,902 S. STATE ST.,ANN ARBOR,08/04/2014,0,1,2
SUBWAY/PILOT TRAVEL #021,750 BAKER ROAD,DEXTER,08/11/2014,0,0,3
SUSHI.COM (Miya),715 N. UNIVERSITY,ANN ARBOR,08/05/2014,0,1,3
SWEETWATERS COFFEE & TEA,3393 PLYMOUTH RD SUITE A,ANN ARBOR,08/27/2014,1,1,3
TACO BELL #1938,2280 W. STADIUM BLVD,ANN ARBOR,08/11/2014,0,1,4
TAP ROOM,201 W. MICHIGAN AVENUE,YPSILANTI,08/05/2014,2,2,5
TAQUERIA LA FIESTA MEXICAN RESTAURANT,4060 PACKARD RD,ANN ARBOR,08/19/2014,2,1,4
TASTY GREEN CAFE,"100 N. 5TH AVE, STE 126",ANN ARBOR,08/12/2014,0,1,2
TATSU SUSHI,100 BRIARWOOD CIR KIOSK 166,ANN ARBOR,08/14/2014,5,2,2
TERRY B'S RESTAURANT,7954 ANN ARBOR STREET,DEXTER,08/07/2014,0,0,4
TIM HORTON'S,1311 ANNA J STEPP DR,YPSILANTI,08/22/2014,2,2,5
TIM HORTON'S,3975 S. STATE ST,ANN ARBOR,08/26/2014,3,1,11
TIM HORTON'S CAFE & BAKE SHP,2220 WASHTENAW AVE,YPSILANTI,08/13/2014,1,1,3
TOYOTA TECHNICAL CENTER,1555 WOODRIDGE,ANN ARBOR,08/14/2014,0,0,0
TRAVIS POINTE CC ALL SPORTS CAFE,2829 TRAVIS POINTE RD,ANN ARBOR,08/14/2014,2,1,1
UMI SUSHI,3393 PLYMOUTH RD SUITE 200,ANN ARBOR,08/15/2014,2,1,5
UNIVERSITY CAFE,621 CHURCH STREET,ANN ARBOR,08/04/2014,0,0,1
UPTOWN CONEY ISLAND,3917 JACKSON ROAD,ANN ARBOR,08/25/2014,1,0,2
VELLUM RESTAURANT,209 S MAIN ST,ANN ARBOR,08/26/2014,2,1,2
VICTORIOUS LIFE CHURCH OF GOD,860 E CLARK RD.,YPSILANTI,08/13/2014,0,0,3
"WAFEL SHOP, THE",113 E. LIBERTY ST.,ANN ARBOR,08/11/2014,0,0,3
WASHTENAW MILK & ICE CREAM,602 S. ASHLEY,ANN ARBOR,08/18/2014,0,0,3
WATERS KITCHEN,1600 STEPHENS DR.,YPSILANTI,08/23/2014,0,0,0
WHITE CASTLE MICHIGAN #26,3953 PACKARD,ANN ARBOR,08/29/2014,0,0,4
WORLD OF BEERS,1300 S. UNIVERSITY AVE,ANN ARBOR,08/27/2014,0,0,0
WURST BAR (THE)        ,705 W. CROSS STREET,YPSILANTI,08/01/2014,3,2,5
YPSILANTI MARRIOTT,1275 S. HURON,YPSILANTI,08/27/2014,2,5,5
ZAMAAN CAFE,3580 PLYMOUTH RD,ANN ARBOR,08/14/2014,5,3,13
"ZINGERMAN'S ""NEXT DOOR""",418 DETROIT STREET,ANN ARBOR,08/20/2014,2,1,3
ZINGERMAN'S DELI,422 DETROIT STREET,ANN ARBOR,08/19/2014,2,1,6
ZINGERMAN'S MAIL ORDER,610-640 PHOENIX DR. ,ANN ARBOR,08/08/2014,0,2,4
ZION LUTHERAN CHURCH,1501 W. LIBERTY,ANN ARBOR,08/27/2014,0,0,1
