Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
CUBE CAFE (THE),2121 OAK VALLEY DRIVE,ANN ARBOR,10/16/2014,0,2,6
DALAT INN RESTAURANT,100 W. MICHIGAN AVENUE,YPSILANTI,10/15/2014,1,1,2
DEXTER ATHLETIC BOOSTERS CONC.,2615 BAKER ROAD,DEXTER,10/16/2014,1,1,1
DOMINO'S PIZZA #1109,2282 S. MAIN STREET,ANN ARBOR,10/15/2014,0,3,4
DOMINO'S PIZZA / T & R PIZZA,401 E. MICHIGAN AVENUE,SALINE,10/03/2014,1,0,3
DON JUAN,2135 W. STADIUM BLVD.,ANN ARBOR,10/28/2014,1,1,3
DON JUAN BAR AND GRILL,39 EAST MAIN ST,MILAN,10/29/2014,7,8,11
DWIGHT BEACH MIDDLE SCHOOL,445 A.D. MAYER DRIVE,CHELSEA,10/06/2014,1,0,0
EATA PITA,402 S MAIN ST,ANN ARBOR,10/21/2014,2,1,2
EL HARISSA,1516 N MAPLE RD,ANN ARBOR,10/21/2014,0,0,0
EL RANCHITO,4079 STONE SCHOOL RD,ANN ARBOR,10/22/2014,1,3,8
EMU BOOTH #202 EAST,RYNEARSON STADIUM,YPSILANTI,10/11/2014,1,0,2
EMU CONCESSION BOOTH WEST,RYNEARSON STADIUM,YPSILANTI,10/11/2014,0,0,2
EMU EAGLE CREST GRILLE,1275 S. HURON,YPSILANTI,10/10/2014,2,0,6
EMU E-STREET GRILL / JUMP EXPRESS ESTRN ,SELLERS DRIVE DC#2,YPSILANTI,10/01/2014,0,0,3
EMU SUNSET STRIP / BAKE SHOP,SELLERS DR DC #2,YPSILANTI,10/01/2014,1,0,3
EMU UPPER CRUST (THE),SELLERS DRIVE,YPSILANTI,10/01/2014,0,0,2
EMU WRAP IT UP / FRESHENS,SELLERS DRIVE,YPSILANTI,10/02/2014,0,0,3
ERICKSON ELEMENTARY SCHOOL,1427 LEVONA,YPSILANTI,10/10/2014,0,0,2
FIRST UNITED METHODIST CHURCH,120 S. STATE STREET,ANN ARBOR,10/06/2014,1,0,0
FIRST UNITED METHODIST CHURCH,128 PARK STREET,CHELSEA,10/28/2014,0,0,0
FLEETWOOD DINER,300 S. ASHLEY,ANN ARBOR,10/03/2014,1,2,8
FOREST  SCHOOL,1706 ECORSE ROAD,YPSILANTI,10/09/2014,0,0,2
FRANKS RESTAURANT,334 MAYNARD,ANN ARBOR,10/23/2014,2,1,4
FRENCH QUARTER,1494 ECORSE ROAD,YPSILANTI,10/22/2014,2,4,10
FULL CIRCLE COMMUNITY CENTER,750 TOWNER,YPSILANTI,10/07/2014,0,0,1
FULL HOUSE  INC,57 ECORSE ROAD,YPSILANTI,10/02/2014,3,1,3
GABRIEL'S CHEESE STEAK HOAGIES,972 E MICHIGAN AVE,SALINE,10/08/2014,0,0,0
GARDEN CAFE ,"2200 FULLER CT., SUITE 8B",ANN ARBOR,10/15/2014,1,3,4
GET SOME BURRITOS MI LLC,707 PACKARD,ANN ARBOR,10/17/2014,0,0,0
GLASSBOX COFEE & JUICE,3010 WASHTENAW AVE STE 111,ANN ARBOR,10/10/2014,2,2,2
GLASSBOX COFFEE,1335 S UNIVERSITY AVE,ANN ARBOR,10/08/2014,0,0,2
GOOGLE-CONTINENTAL DINING SERVICES,401 E. LIBERTY ST,ANN ARBOR,10/29/2014,0,1,1
GREAT PLAINS BURGER COMPANY,1771 PLYMOUTH RD.,ANN ARBOR,10/21/2014,2,1,7
GREAT WALL CHINESE RESTAURANT,2128 WHITTAKER ROAD,YPSILANTI,10/01/2014,1,2,5
GREENHILLS SCHOOL,850 GREENHILLS DR.,ANN ARBOR,10/29/2014,0,0,1
GRIZZLY PEAK BREWING CO.,120 W. WASHINGTON,ANN ARBOR,10/22/2014,3,3,9
"HAABS RESTAURANT, INC",18 W. MICHIGAN AVENUE,YPSILANTI,10/15/2014,0,1,8
HAISLEY ELEMENTARY,825 DUNCAN,ANN ARBOR,10/16/2014,0,1,0
HAPPY WOK,1916 W. STADIUM BLVD,ANN ARBOR,10/06/2014,0,0,4
HEIDELBERG,215 N. MAIN STREET,ANN ARBOR,10/10/2014,2,1,3
HENRY FORD ELEMENTARY,2440 CLARK ROAD,YPSILANTI,10/07/2014,0,0,1
HIDDEN DRAGON,15 W. MICHIGAN AVENUE,YPSILANTI,10/06/2014,2,1,3
HOLMES ELEMENTARY SCHOOL,1255 HOLMES ROAD,YPSILANTI,10/07/2014,0,0,0
HONG KONG,2339 ELLSWORTH RD,YPSILANTI,10/14/2014,1,4,4
HUT-K CHAATS HOUSE,3022 PACKARD ST.,ANN ARBOR,10/16/2014,2,1,3
INSOMNIA COOKIES,733 W CROSS ST,YPSILANTI,10/02/2014,0,0,2
IZZY'S HOAGIE SHOP,1924 W. STADIUM BLVD,ANN ARBOR,10/06/2014,1,0,1
"JAVA SPOT, THE at WCC (ARAMARK)",4800 E HURON RIVER DR,ANN ARBOR,10/07/2014,0,0,0
JAZZY VEGGIE,108 S. MAIN STREET,ANN ARBOR,10/09/2014,1,2,1
JENNY'S PIZZA PERFECT,332 S. FORD BLVD,YPSILANTI,10/23/2014,0,0,0
JEWISH COMMUNITY CENTER,2935 BIRCH HOLLOW DRIVE,ANN ARBOR,10/30/2014,1,0,1
JIMMY JOHNS,1149 S MAIN ST.,CHELSEA,10/20/2014,0,1,0
JIMMY JOHN'S,2615 PLYMOUTH ROAD,ANN ARBOR,10/01/2014,1,2,2
JOE'S CONEY ISLAND,6066 RAWSONVILLE ROAD,BELLEVILLE,10/15/2014,4,3,9
JOE'S JAVA @ SJMH - ANN ARBOR,5301 EAST HURON RIVER DR.,ANN ARBOR,10/22/2014,0,0,3
JUMBO STEAK HOAGIE/BROADWAY CA,1139 BROADWAY,ANN ARBOR,10/03/2014,1,3,2
KNIGHT'S BAR & RESTAURANT,2324 DEXTER STREET,ANN ARBOR,10/09/2014,0,0,3
LA CUISINE BERBERE,1510 N.  MAPLE RD,ANN ARBOR,10/21/2014,0,0,2
LAI LAI (YOU & KIN INC),4023 CARPENTER ROAD,YPSILANTI,10/03/2014,0,1,7
LAKEWOOD ELEMENTARY SCHOOL,344 GRALAKE,ANN ARBOR,10/30/2014,1,2,1
LAWTON ELEMENTARY,2250 S. SEVENTH STREET,ANN ARBOR,10/07/2014,0,0,0
LE DOG/DOBOS INTERNATIONAL,"306 S. MAIN ST., SUITE 1E",ANN ARBOR,10/21/2014,0,0,0
LENA/HABANA,226 S MAIN ST,ANN ARBOR,10/29/2014,0,3,9
LINCOLN BRICK ELEMENTARY,8970 WHITTAKER ROAD,YPSILANTI,10/16/2014,1,0,2
LINCOLN CHILDS ELEMENTARY SCHOOL,7300 BEMIS ROAD,YPSILANTI,10/16/2014,1,0,1
LINCOLN HIGH SCHOOL EAST,7525 WILLIS ROAD,YPSILANTI,10/03/2014,0,0,0
LINCOLN HIGH SCHOOL WEST,7425 WILLIS ROAD,YPSILANTI,10/03/2014,0,0,0
LINCOLN MIDDLE SCHOOL,8744 WHITTAKER ROAD,YPSILANTI,10/03/2014,0,0,1
LITTLE CAESAR'S PIZZA,3000 PACKARD,ANN ARBOR,10/03/2014,1,1,3
LOS AMIGOS,2851 E. MICHIGAN AVENUE,YPSILANTI,10/27/2014,1,1,2
LOTUS THAI RESTAURANT,2803 OAK VALLEY DRIVE,ANN ARBOR,10/22/2014,0,0,6
LUCA'S CONEY ISLAND,309 E. MICHIGAN AVENUE,YPSILANTI,10/07/2014,1,3,4
MACK ELEMENTARY SCHOOL,920 MILLER,ANN ARBOR,10/20/2014,0,0,3
MAC'S IN SALINE LLC,104 E. MICHIGAN AVENUE,SALINE,10/28/2014,2,2,10
MANCHESTER ATHLETIC BOOSTER - FOOTBALL ,20500 DUTCH DR.,MANCHESTER,10/17/2014,0,1,2
MARK'S MIDTOWN CONEY ISLAND  ,3586 PLYMOUTH ROAD,ANN ARBOR,10/30/2014,2,0,7
MIKE'S DELI,114 W. MIDDLE STREET,CHELSEA,10/28/2014,1,1,7
MILAN CONEY ISLAND & RESTAURANT,1152 DEXTER,MILAN,10/21/2014,1,0,5
MITCHELL ELEMENTARY,3550 PITTSVIEW,ANN ARBOR,10/06/2014,0,0,0
MODEL ELEMENTARY SCHOOL (LINCOLN),8850 WHITTAKER RD. ,YPSILANTI,10/20/2014,0,0,1
MOONWINKS CAFE,5151 PLYMOUTH RD SUITE A,ANN ARBOR,10/27/2014,1,0,0
MR. PIZZA,800 ECORSE ROAD,YPSILANTI,10/27/2014,0,2,11
MULTICULTURE ACADEMY,5550 PLATT RD,ANN ARBOR,10/08/2014,0,0,3
NEW TECH HIGH SCHOOL @ ARDIS,2100 ELLSWORTH ROAD,YPSILANTI,10/21/2014,0,1,4
NEW YORK PIZZA DEPOT,605 E. WILLIAM,ANN ARBOR,10/23/2014,0,1,4
NICK'S ORIGINAL HOUSE OF PANCAKES,3030 LOHR ROAD,ANN ARBOR,10/17/2014,2,0,8
NORTH CREEK ELEMENTARY SCHOOL,699 MCKINLEY STREET,CHELSEA,10/09/2014,0,0,0
NORTHSIDE ELEMENTARY SCHOOL,912 BARTON DRIVE,ANN ARBOR,10/21/2014,0,0,0
NORTHSIDE GRILL,1015 BROADWAY,ANN ARBOR,10/07/2014,0,0,7
NSK/CREATIVE DINING SERVICES,4200 GOSS RD,ANN ARBOR,10/16/2014,0,0,2
OCED AT ANN ARBOR CHURCH OF CHRIST,2500 S. MAIN ST.,ANN ARBOR,10/23/2014,0,0,1
OCED SENIOR NUTRITION PROGRAM,106 PACKARD,ANN ARBOR,10/10/2014,0,1,1
OCED SENIOR NUTRITION PROGRAM,8970 WHITTAKER ROAD,YPSILANTI,10/03/2014,0,0,0
OLGA'S KITCHEN,454 BRIARWOOD CIRCLE,ANN ARBOR,10/16/2014,2,0,4
OLIVE GARDEN # 1110,445 E. EISENHOWER PKWY,ANN ARBOR,10/14/2014,2,2,8
PACIFIC RIM BY KANA,114 W. LIBERTY,ANN ARBOR,10/23/2014,0,0,5
PADDOCK ELEMENTARY,707 MARVIN STREET,MILAN,10/21/2014,0,0,0
PALM PALACE - PITTSFIELD,2370 CARPENTER RD,ANN ARBOR,10/22/2014,0,0,0
PANDA CHINESE & KOREAN RESTAURANT,3020 PACKARD,ANN ARBOR,10/08/2014,1,0,4
PANDA HOUSE,229 N. MAPLE RD.,ANN ARBOR,10/29/2014,0,1,8
PAPI'O NIGHTCLUB,2275 ELLSWORTH ROAD,YPSILANTI,10/17/2014,2,1,4
PEACE NEIGHBORHOOD CENTER,1111 N. MAPLE ROAD,ANN ARBOR,10/07/2014,0,0,2
PERRY CHILD DEV CTR DOWNSTAIRS,550 PERRY ST.,YPSILANTI,10/16/2014,0,0,4
PERRY CHILD DEV CTR UPSTAIRS,550 PERRY ST.,YPSILANTI,10/16/2014,0,1,1
PESCARA HAND CRAFTED FOODS LLC,7190 N MAPLE RD,SALINE,10/08/2014,0,1,0
PHO HOUSE,2224 WASHTENAW,YPSILANTI,10/02/2014,1,2,3
PILAR'S CAFE MOBILE #2,2261 W. LIBERTY,ANN ARBOR,10/01/2014,0,0,0
PIONEER HIGH SCHOOL CAFETERIA,601 W. STADIUM BLVD,ANN ARBOR,10/16/2014,0,0,4
PITA KING,2412 E. STADIUM BLVD.,ANN ARBOR,10/10/2014,0,0,1
PIZZA BOB'S,814 S. STATE STREET,ANN ARBOR,10/14/2014,0,1,9
QDOBA MEXICAN GRILL,3279 WASHTENAW AVE,ANN ARBOR,10/20/2014,0,1,3
QUICKIE BURGER BAR & GRILL,800 S. STATE STREET,ANN ARBOR,10/14/2014,0,0,0
RAWSONVILLE ELEMENTARY SCHOOL,3110 GROVE ROAD,YPSILANTI,10/27/2014,1,1,0
REAL BAKED GOODS,1232 PACKARD,ANN ARBOR,10/08/2014,1,1,1
RED BRICK KITCHEN & BAR,8093 MAIN ST.,DEXTER,10/20/2014,3,2,6
REDIES CENTER FOR REHAB & HEALTHY LIVING,440 W RUSSELL ST,SALINE,10/28/2014,2,0,3
REGIONAL CAREER TECHNICAL CENTER @ ARDIS,2100 ELLSWORTH,YPSILANTI,10/21/2014,1,1,1
RESIDENCE INN BY MARRIOT,3535 GREEN ROAD,ANN ARBOR,10/23/2014,3,1,3
RICK'S AMERICAN CAFE,611 CHURCH STREET,ANN ARBOR,10/08/2014,0,0,0
SAIGON GARDEN,1220 S. UNIVERSITY,ANN ARBOR,10/08/2014,4,2,10
"SALINE AREA SENIOR COUNCIL, INC",7190 MAPLE RD,SALINE,10/08/2014,0,0,1
SALVATION ARMY,100 ARBANA DR,ANN ARBOR,10/20/2014,1,1,2
SAN FU ORIENTAL CUISINE,625 S. MAIN STREET,ANN ARBOR,10/20/2014,2,1,7
SC SPOT (ARAMARK),4800 E. HURON RIVER DRIVE,ANN ARBOR,10/01/2014,1,0,2
SCARLETT JR HIGH CAFETERIA,3300 LORRAINE STREET,ANN ARBOR,10/06/2014,0,0,3
SEITZ TAVERN,110 W. MIDDLE STREET,CHELSEA,10/10/2014,1,3,4
SENIOR CITIZEN RECREATION CENTER,1015 CONGRESS,YPSILANTI,10/24/2014,0,0,3
SHALIMAR RESTAURANT,307 S. MAIN STREET,ANN ARBOR,10/14/2014,1,0,1
SHARON UNITED METHODIST CHURCH - HALL,19980 PLEASANT LAKE RD,MANCHESTER,10/24/2014,1,0,0
SINBAD KONEY ISLAND,2563 ELLSWORTH ROAD,YPSILANTI,10/14/2014,2,1,9
SMOKEHOUSE 52 BBQ,125 S MAIN ST,CHELSEA,10/21/2014,3,1,4
SOUTH ARBOR ACADEMY,8200 CARPENTER ROAD,YPSILANTI,10/14/2014,1,0,1
SOUTH MEADOWS ELEMENTARY SCHOOL,335 PIERCE STREET,CHELSEA,10/06/2014,1,0,1
SPICERS GRILL,1991 UPLAND DR,ANN ARBOR,10/24/2014,0,0,0
ST. ANDREWS CHURCH OF CHRIST,7610 ANN ARBOR STREET,DEXTER,10/15/2014,1,0,0
ST. JOHN'S CATHOLIC CHURCH,410 W. CROSS STREET,YPSILANTI,10/21/2014,0,0,0
STARBUCKS COFEE,2793 PLYMOUTH RD,ANN ARBOR,10/23/2014,0,0,3
STARBUCKS COFFEE #13531,3650 CARPENTER RD.,ANN ARBOR,10/14/2014,0,0,2
STEAK-N-SHAKE #343,4120 ELLSWORTH ROAD,YPSILANTI,10/21/2014,3,0,5
STIVERS,11 S. FLETCHER ROAD,CHELSEA,10/30/2014,2,3,5
STUFD,505 W. CROSS,YPSILANTI,10/28/2014,0,1,8
SUBWAY,3098 PLATT RD,ANN ARBOR,10/16/2014,0,0,1
