Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
STARBUCKS COFFEE  #2359,222 S. STATE STREET,ANN ARBOR,03/10/2015,0,1,2
STOCKWELL'S BREAKFAST & LUNCH,108 ADRAIN ST. ,MANCHESTER,03/11/2015,0,1,1
STONE SCHOOL CAFETERIA,2800 STONE SCHOOL ROAD,ANN ARBOR,03/24/2015,0,0,4
STUCCHI'S,302 S. STATE STREET,ANN ARBOR,03/06/2015,0,0,1
SUBWAY,1107 S. MAIN STREET,CHELSEA,03/16/2015,2,0,2
SUBWAY,1156 DEXTER STREET,MILAN,03/17/2015,0,0,1
SUBWAY,3098 PLATT RD,ANN ARBOR,03/31/2015,0,0,5
SUBWAY #50227,411 E. WASHINGTON STE A2,ANN ARBOR,03/12/2015,1,2,3
SUBWAY @ EMU,900 OAKWOOD,YPSILANTI,03/03/2015,2,1,2
"SUBWAY @ WAL-MART/MARUTI FAST FOODS, LLC",7000 EAST MICHIGAN AVE,SALINE,03/09/2015,1,0,3
SUBWAY OF DEXTER,7050 DEXTER-ANN ARBOR RD #600,DEXTER,03/02/2015,0,0,1
SWEETWATERS YPSILANTI,735 W CROSS ST,YPSILANTI,03/30/2015,0,0,0
TACO BELL # 9591,2351 ELLSWORTH ROAD,YPSILANTI,03/17/2015,0,4,8
TACO BELL #27886,1085 E MICHIGAN AVE.,YPSILANTI,03/17/2015,0,0,3
TACO KING STONE SCHOOL,4079 STONE SCHOOL RD,ANN ARBOR,03/10/2015,2,2,7
TAPPAN JR. HIGH SCHOOL,2251 E. STADIUM BLVD,ANN ARBOR,03/09/2015,0,1,1
THURSTON ELEMENTARY,2300 PRAIRIE,ANN ARBOR,03/10/2015,0,0,1
TIAN CHU,613 E. WILLIAMS,ANN ARBOR,03/04/2015,0,2,3
TMAZ TAQUERIA,3182 PACKARD RD,ANN ARBOR,03/24/2015,1,1,6
TOARMINA'S PIZZA &  BURRITO JOINT,1200 PACKARD,ANN ARBOR,03/09/2015,0,0,4
TOYOTA TECH CENTER(YORK) - ARAMARK,8777 PLATT RD,SALINE,03/26/2015,1,0,2
U OF M HILLEL FOUNDATION,1429 HILL STREET,ANN ARBOR,03/27/2015,0,0,1
UNIVERSITY ASSISTED LIVING,2865 S. MAIN STREET,ANN ARBOR,03/03/2015,1,1,4
UPPER CRUST FOOD SERVICE @ CHI PSI FRAT,620 S. STATE ST.,ANN ARBOR,03/09/2015,0,0,2
VETERANS ICE RINK & SWIM POOL,2150 JACKSON ROAD,ANN ARBOR,03/06/2015,0,0,1
VICTORIOUS LIFE CHURCH OF GOD,860 E CLARK RD.,YPSILANTI,03/06/2015,2,1,3
WENDY'S,1655 PLYMOUTH ROAD,ANN ARBOR,03/02/2015,1,0,5
WENDY'S @ EMU,900 OAKWOOD,YPSILANTI,03/25/2015,1,0,2
WHAT CREPE ANN ARBOR LLC,241 E. LIBERTY,ANN ARBOR,03/24/2015,0,0,3
WHITMORE LAKE ELEMENTARY SCHOOL,1077 BARKER ROAD,WHITMORE LAKE,03/11/2015,1,0,1
WHITMORE LAKE MIDDLE SCHOOL,8877 MAIN STREET,WHITMORE LAKE,03/17/2015,0,0,0
WHITMORE LAKE TAVERN,9839 MAIN STREET,WHITMORE LAKE,03/03/2015,2,0,0
WHITMORE LANES INC & CONEY,9455 MAIN STREET,WHITMORE LAKE,03/09/2015,2,3,1
WINES ELEMENTARY,1701 NEWPORT ROAD,ANN ARBOR,03/03/2015,1,3,2
WYLIE ELEMENTARY SCHOOL,3060 KENSINGTON,DEXTER,03/09/2015,1,0,1
ZION LUTHERAN CHURCH,1501 W. LIBERTY,ANN ARBOR,03/03/2015,0,0,1
