Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
DAIRY QUEEN OF YPSILANTI,101 E. MICHIGAN AVENUE,YPSILANTI,04/22/2015,1,0,1
DALAT INN RESTAURANT,100 W. MICHIGAN AVENUE,YPSILANTI,04/28/2015,0,0,8
DOGGONE MCCORMICK STFU,3195 W. MICHIGAN AVE,YPSILANTI,04/01/2015,0,0,0
DOGGONE MCCORMICK STFU,3195 W. MICHIGAN AVE,YPSILANTI,04/29/2015,0,0,0
DOMINO'S PIZZA #1109,2282 S. MAIN STREET,ANN ARBOR,04/20/2015,0,0,3
DON JUAN BAR AND GRILL,39 EAST MAIN ST,MILAN,04/20/2015,6,2,4
DWIGHT BEACH MIDDLE SCHOOL,445 A.D. MAYER DRIVE,CHELSEA,04/16/2015,0,0,1
EASTERN CONEY ISLAND,533 W. CROSS STREET,YPSILANTI,04/24/2015,0,0,9
EATA PITA,402 S MAIN ST,ANN ARBOR,04/09/2015,5,3,2
ELK'S FRONTIER LODGE #1681,1405 ECORSE ROAD,YPSILANTI,04/14/2015,2,3,6
"EMU BANQUET, SERVICE KITCHEN & DISHROOM",900 OAKWOOD BLVD.,YPSILANTI,04/24/2015,0,0,3
EMU CATERING PRODUCTION KITCHEN,900 OAKWOOD BLVD.,YPSILANTI,04/24/2015,1,1,5
EMU EAGLE CREST GRILLE,1275 S. HURON,YPSILANTI,04/03/2015,2,0,3
EMU E-STREET GRILL / JUMP EXPRESS ESTRN ,SELLERS DRIVE DC#2,YPSILANTI,04/02/2015,0,0,0
EMU SUNSET STRIP / BAKE SHOP,SELLERS DR DC #2,YPSILANTI,04/02/2015,0,0,0
EMU UPPER CRUST (THE),SELLERS DRIVE,YPSILANTI,04/02/2015,0,0,1
EMU WRAP IT UP / FRESHENS,SELLERS DRIVE,YPSILANTI,04/02/2015,0,0,0
ERICKSON ELEMENTARY SCHOOL,1427 LEVONA,YPSILANTI,04/17/2015,0,0,2
FIRST UNITED METHODIST CHURCH,128 PARK STREET,CHELSEA,04/16/2015,0,0,2
FIRST UNITED METHODIST CHURCH,120 S. STATE STREET,ANN ARBOR,04/08/2015,1,1,5
FLEETWOOD DINER,300 S. ASHLEY,ANN ARBOR,04/03/2015,2,1,7
