Establishment,Address,City,Inspection Date,Priority Violations Cnt,Priority Foundation Violations,Core Violations
HOLIDAY INN EXPRESS,1540 COMMERCE PARK DR.,CHELSEA,02/23/2015,3,3,2
HOTEL HICKMAN WILD WEST ADVENTURES,8050 MAIN ST.,DEXTER,02/20/2015,1,0,0
HOWARD HOAGIES  # 3,2011 MCCARTNEY,YPSILANTI,02/24/2015,2,1,6
HUNGRY WOLF,20400 AUSTIN ROAD,MANCHESTER,02/23/2015,1,0,0
INTERFIRST CAFE/SODEXO,6300 INTERFIRST DRIVE,ANN ARBOR,02/19/2015,0,1,4
"IORIO'S, LLC",522 E. WILLIAMS ST.,ANN ARBOR,02/12/2015,0,1,0
JAMAICAN JERK PIT,314 S. THAYER,ANN ARBOR,02/03/2015,1,2,2
JAMES L. CRAWFORD LODGE #322,220 SUNSET BLVD,ANN ARBOR,02/24/2015,0,0,0
JERUSALEM KITCHEN INC,2251 W. LIBERTY,ANN ARBOR,02/25/2015,0,0,1
JET'S PIZZA,978 E. MICHIGAN AVE,SALINE,02/25/2015,0,0,2
JET'S PIZZA,1298 ANNA J. STEPP,YPSILANTI,02/25/2015,2,6,3
JOE'S DELI & MARKET,5333 MCAULEY DR.,YPSILANTI,02/09/2015,1,0,1
JOYFUL HOUSE,515 E. MICHIGAN AVENUE,SALINE,02/24/2015,0,0,3
KFC #W812092,39 E. MICHIGAN AVENUE,YPSILANTI,02/03/2015,1,1,5
KFC #W812127,4040 WASHTENAW,ANN ARBOR,02/25/2015,2,1,5
LA MARSA MEDITERRANEAN CUISINE,301 S. STATE STREET,ANN ARBOR,02/12/2015,2,7,6
LINDA'S DINER LLC,9610 CHELSEA MANCHESTER RD.,MANCHESTER,02/23/2015,1,0,3
LITTLE PORKY'S  - ADK INC.,2529 DEXTER ROAD,ANN ARBOR,02/17/2015,1,1,3
LITTLE PORKY'S - WHITMORE LAKE,52 BARKER RD,WHITMORE LAKE,02/13/2015,0,0,0
"LIVE, THE LAST WORD DBA",102 S. FIRST STREET,ANN ARBOR,02/24/2015,2,0,5
"LUNCH ROOM, THE",407 N FIFTH AVE,ANN ARBOR,02/24/2015,3,0,0
MAIZ MEXICAN CANTINA,36 E. CROSS STREET,YPSILANTI,02/19/2015,4,2,5
MAIZE & BLUE DELI,1329 S. UNIVERSITY,ANN ARBOR,02/03/2015,0,0,1
MANCINO'S PIZZA & GRINDERS,1323 E. MICHIGAN AVENUE,SALINE,02/09/2015,0,0,2
MARCO'S PIZZA #56,1752 PLYMOUTH ROAD,ANN ARBOR,02/09/2015,0,2,3
MARK'S MIDTOWN CONEY ISLAND IN,3672 S. STATE STREET,ANN ARBOR,02/05/2015,1,0,7
MCDONALD'S RESTAURANT,2675 PLYMOUTH ROAD,ANN ARBOR,02/11/2015,0,0,3
MCDONALD'S RESTAURANT,3811 CARPENTER RD,YPSILANTI,02/10/2015,0,0,4
MCDONALD'S RESTAURANT,1070 HURON RIVER DRIVE,YPSILANTI,02/20/2015,0,1,7
MENNA'S JOINT,607 E WILLIAM ST,ANN ARBOR,02/03/2015,3,3,6
METZGER'S GERMAN RESTAURANT,305 N. ZEEB ROAD,ANN ARBOR,02/17/2015,0,0,0
MIKI JAPANESE RESTAURANT,106 S. FIRST STREET,ANN ARBOR,02/24/2015,1,5,10
MILAN FREE METHODIST CHURCH,950 ARKONA ROAD,MILAN,02/24/2015,0,1,4
NOODLES & CO,2245 W. STADIUM BLVD.,ANN ARBOR,02/20/2015,0,1,1
OASIS CAFE/SOUTH U PIZZA,1104 - 1110  S. UNIVERSITY,ANN ARBOR,02/12/2015,3,3,9
OUTBACK STEAKHOUSE,3173 OAK VALLEY DRIVE,ANN ARBOR,02/18/2015,0,0,4
PANCHERO'S MEXICAN GRILL,1208 S. UNIVERSITY,ANN ARBOR,02/11/2015,1,3,2
PANERA BREAD #876,3205 WASHTENAW,ANN ARBOR,02/03/2015,2,2,2
PANERA BREAD #878,5340 JACKSON ROAD,ANN ARBOR,02/12/2015,1,1,2
PAPA JOHN'S PIZZA,2145 W. STADIUM BLVD,ANN ARBOR,02/23/2015,0,2,3
PITA KABOB GRILL,619 E. WILLIAM,ANN ARBOR,02/09/2015,2,2,6
POLO FIELDS - WASHTENAW (THE),2955 PACKARD,YPSILANTI,02/04/2015,0,1,5
POTATO & CO,854 BRIARWOOD CIRCLE,ANN ARBOR,02/04/2015,0,1,3
"POTBELLY SANDWICH WORKS, LLC",300 S. STATE STEET,ANN ARBOR,02/24/2015,0,1,4
